Summary Statistics of the number of firms on the grid for each subsector;;;;;;;
;HT;MHT;HTKIS;O;MLT;LT;TOTAL
conut;2173;7806;56774;849742;37023;30191;983709
mean;0,04;0,15;1,06;15,73;0,67;0,56;18,21
std;0,47;1,71;11,95;104,65;3,73;3,96;124,83
min;0;0;0;0;0;0;0
max;28;184;901;7991;160;230;9483
Normalized ratios of firm counts for each group;;;;;;;
;HT ratio;MHT ratio;HTKIS ratio;O ratio;MLT ratio;LT ratio;
mean;0,0019%;0,0019%;0,0019%;0,0019%;0,0019%;0,0019%;
std;0,0224%;0,0229%;0,0219%;0,0129%;0,0108%;0,0138%;
max;1,3404%;2,4662%;1,6475%;0,9880%;0,4610%;0,8020%;
