kod;tech
2011Z;medium-high-tech
2012Z;medium-high-tech
2013Z;medium-high-tech
2014Z;medium-high-tech
2015Z;medium-high-tech
2016Z;medium-high-tech
2017Z;medium-high-tech
2020Z;medium-high-tech
2030Z;medium-high-tech
2041Z;medium-high-tech
2042Z;medium-high-tech
2051Z;medium-high-tech
2052Z;medium-high-tech
2053Z;medium-high-tech
2059Z;medium-high-tech
2060Z;medium-high-tech
2110Z;high-tech
2120Z;high-tech
2540Z;medium-high-tech
2611Z;high-tech
2612Z;high-tech
2620Z;high-tech
2630Z;high-tech
2640Z;high-tech
2651Z;high-tech
2652Z;high-tech
2660Z;high-tech
2670Z;high-tech
2680Z;high-tech
2711Z;medium-high-tech
2712Z;medium-high-tech
2720Z;medium-high-tech
2731Z;medium-high-tech
2732Z;medium-high-tech
2733Z;medium-high-tech
2740Z;medium-high-tech
2751Z;medium-high-tech
2752Z;medium-high-tech
2790Z;medium-high-tech
2811Z;medium-high-tech
2812Z;medium-high-tech
2813Z;medium-high-tech
2814Z;medium-high-tech
2815Z;medium-high-tech
2821Z;medium-high-tech
2822Z;medium-high-tech
2823Z;medium-high-tech
2824Z;medium-high-tech
2825Z;medium-high-tech
2829Z;medium-high-tech
2830Z;medium-high-tech
2841Z;medium-high-tech
2849Z;medium-high-tech
2891Z;medium-high-tech
2892Z;medium-high-tech
2893Z;medium-high-tech
2894Z;medium-high-tech
2895Z;medium-high-tech
2896Z;medium-high-tech
2899Z;medium-high-tech
2910Z;medium-high-tech
2910B;medium-high-tech
2910C;medium-high-tech
2910D;medium-high-tech
2910E;medium-high-tech
2920Z;medium-high-tech
2931Z;medium-high-tech
2932Z;medium-high-tech
3020Z;medium-high-tech
3030Z;high-tech
3040Z;medium-high-tech
3091Z;medium-high-tech
3092Z;medium-high-tech
3099Z;medium-high-tech
3250Z;medium-high-tech
5911Z;high-tech know-intens serv
5912Z;high-tech know-intens serv
5913Z;high-tech know-intens serv
5914Z;high-tech know-intens serv
5920Z;high-tech know-intens serv
6010Z;high-tech know-intens serv
6020Z;high-tech know-intens serv
6110Z;high-tech know-intens serv
6120Z;high-tech know-intens serv
6130Z;high-tech know-intens serv
6190Z;high-tech know-intens serv
6201Z;high-tech know-intens serv
6202Z;high-tech know-intens serv
6203Z;high-tech know-intens serv
6209Z;high-tech know-intens serv
6311Z;high-tech know-intens serv
6312Z;high-tech know-intens serv
6391Z;high-tech know-intens serv
6399Z;high-tech know-intens serv
7211Z;high-tech know-intens serv
7219Z;high-tech know-intens serv
